,time,train__average_mean_squared_error,train_coeff_0_mean_squared_error,train_coeff_1_mean_squared_error,train_coeff_2_mean_squared_error,train_coeff_3_mean_squared_error,valid__average_mean_squared_error,valid_coeff_0_mean_squared_error,valid_coeff_1_mean_squared_error,valid_coeff_2_mean_squared_error,valid_coeff_3_mean_squared_error,learning_rate
0,00:43:25 2019-07-07,62643.3828125,176962.484375,1808.3807373046875,40199.59375,31603.07421875,0.00777038699015975,0.0012063673930242658,0.003783180145546794,0.01419867854565382,0.011893322691321373,0.0001
1,00:46:46 2019-07-07,8.649415016174316,15.789773941040039,17.94108772277832,0.6187577843666077,0.24803750216960907,0.0059587908908724785,0.0009435962419956923,0.0017692267429083586,0.010377692058682442,0.01074464712291956,0.0001
2,00:50:03 2019-07-07,0.08603938668966293,0.010039200074970722,0.19621437788009644,0.08211059123277664,0.05579337105154991,0.0063427286222577095,0.0010423457715660334,0.0026000342331826687,0.01082697045058012,0.010901563800871372,0.0001
3,00:52:57 2019-07-07,0.011515343561768532,0.009485581889748573,0.008138134144246578,0.014466716907918453,0.013970943167805672,0.00794990174472332,0.001455170102417469,0.004243255592882633,0.013454746454954147,0.01264643482863903,0.0001
4,00:55:58 2019-07-07,0.008303917944431305,0.005227378103882074,0.004559780936688185,0.01149563305079937,0.011932880617678165,0.005762592889368534,0.0013518735067918897,0.001386649557389319,0.009726650081574917,0.010585198178887367,5e-05
5,00:58:56 2019-07-07,0.0064421831630170345,0.0019239854300394654,0.00211937353014946,0.010787826962769032,0.01093754731118679,0.0056248316541314125,0.0011293413117527962,0.0013923861552029848,0.009651409462094307,0.01032619085162878,5e-05
6,01:01:53 2019-07-07,0.006805156823247671,0.002568843774497509,0.0023672408424317837,0.011115080676972866,0.011169461533427238,0.005792552605271339,0.0011188212083652616,0.0014362350339069963,0.010178293101489544,0.010436859913170338,5e-05
7,01:04:56 2019-07-07,0.006458038464188576,0.0020870750304311514,0.002174633089452982,0.010692838579416275,0.010877606458961964,0.006147244479507208,0.001638420857489109,0.0020005793776363134,0.010193301364779472,0.010756676085293293,5e-05
8,01:07:57 2019-07-07,0.006095290184020996,0.0016825342318043113,0.0017801172798499465,0.010249619372189045,0.010668889619410038,0.005570746026933193,0.0012409798800945282,0.0014332669088616967,0.009509442374110222,0.01009929459542036,2.5e-05
9,01:10:57 2019-07-07,0.006101150996983051,0.0016695663798600435,0.0019010978285223246,0.010244215838611126,0.010589723475277424,0.005616665817797184,0.0012002455769106746,0.001428704708814621,0.009721740148961544,0.010115972720086575,2.5e-05
10,01:14:02 2019-07-07,0.006049354560673237,0.001723250956274569,0.0017471957253292203,0.010188879445195198,0.010538092814385891,0.005454523488879204,0.0010167756117880344,0.0012008895864710212,0.009650873020291328,0.009949554689228535,2.5e-05
11,01:17:02 2019-07-07,0.00602232338860631,0.0016607084544375539,0.001788178225979209,0.010113858617842197,0.010526548139750957,0.005703233182430267,0.0013938300544396043,0.0015875205863267183,0.009564554318785667,0.010267026722431183,2.5e-05
12,01:20:03 2019-07-07,0.005952815990895033,0.0016585888806730509,0.0016838969895616174,0.010013892315328121,0.01045488566160202,0.005338246002793312,0.0010208539897575974,0.0012279354268684983,0.009256487712264061,0.00984770618379116,1.25e-05
13,01:23:03 2019-07-07,0.00595945306122303,0.0016355806728824973,0.001693446421995759,0.010008464567363262,0.010500322096049786,0.005698278080672026,0.0011988310143351555,0.001498436089605093,0.009465489536523819,0.010630356147885323,1.25e-05
14,01:26:03 2019-07-07,0.005892695393413305,0.0015643666265532374,0.0016674328362569213,0.009908953681588173,0.010430028662085533,0.005553025286644697,0.0012107784859836102,0.0014266578946262598,0.009455140680074692,0.010119523853063583,1.25e-05
