,time,train__average_mean_squared_error,train_coeff_mean_squared_error,valid__average_mean_squared_error,valid_coeff_mean_squared_error,learning_rate
0,19:30:36 2019-07-30,0.008822264149785042,0.008822264149785042,0.007167142815887928,0.007167142815887928,0.0001
1,19:33:22 2019-07-30,0.006285563576966524,0.006285563576966524,0.005594795104116201,0.005594795104116201,0.0001
2,19:36:07 2019-07-30,0.005826207809150219,0.005826207809150219,0.0065526459366083145,0.0065526459366083145,0.0001
3,19:38:42 2019-07-30,0.005690950434654951,0.005690950434654951,0.005281112156808376,0.005281112156808376,0.0001
4,19:41:29 2019-07-30,0.005408332683146,0.005408332683146,0.005427769385278225,0.005427769385278225,5e-05
5,19:44:03 2019-07-30,0.00548452977091074,0.00548452977091074,0.005534021183848381,0.005534021183848381,5e-05
6,19:46:40 2019-07-30,0.005382849834859371,0.005382849834859371,0.005690768361091614,0.005690768361091614,5e-05
7,19:49:17 2019-07-30,0.0053796907886862755,0.0053796907886862755,0.005878259427845478,0.005878259427845478,5e-05
8,19:51:57 2019-07-30,0.0052873375825583935,0.0052873375825583935,0.005098952446132898,0.005098952446132898,2.5e-05
9,19:54:40 2019-07-30,0.005251068156212568,0.005251068156212568,0.005122028291225433,0.005122028291225433,2.5e-05
10,19:57:20 2019-07-30,0.005240103229880333,0.005240103229880333,0.005136868916451931,0.005136868916451931,2.5e-05
11,19:59:55 2019-07-30,0.0052347383461892605,0.0052347383461892605,0.0050811865366995335,0.0050811865366995335,2.5e-05
12,20:02:38 2019-07-30,0.005155684892088175,0.005155684892088175,0.005021079443395138,0.005021079443395138,1.25e-05
13,20:05:25 2019-07-30,0.005148432217538357,0.005148432217538357,0.0050775036215782166,0.0050775036215782166,1.25e-05
14,20:07:59 2019-07-30,0.0051149651408195496,0.0051149651408195496,0.005096557550132275,0.005096557550132275,1.25e-05
